,p,r2_y_c,r2_yhat_c,r2_y_yhat,n,c_to_y_ratio_in_yhat,yc_in_yhat,y_in_c,num_perms,random_seed,p_pc_pearson,p_pc_spearman,y_to_c_ratio_in_yhat
2386,0.921,0.0004574129636917279,0.08853958459133804,1.872033918204341e-05,1000,,0.3,0,1000,521591129,0.7331504464575095,0.6536335060487897,0.0
2387,0.438,7.20385512017474e-05,0.07978390704555638,0.0008351041894202327,1000,,0.3,0,1000,1649983588,0.44874707006285197,0.4652534261758068,0.0
2388,0.725,3.4393427140733124e-06,0.07531714998662797,0.00015764512576199596,1000,,0.3,0,1000,1224961433,0.6971950345706454,0.8512129148384262,0.0
2389,0.418,0.0009558914896913295,0.08560518960098806,0.001127223046795356,1000,,0.3,0,1000,1948337453,0.20006076767997058,0.18988816978125703,0.0
2390,0.973,0.0030033461759002567,0.10388960379751078,6.623656804705114e-06,1000,,0.3,0,1000,1617095470,0.5055719010845453,0.4604940081743395,0.0
2391,0.399,0.0021563732565104132,0.10709163641346531,0.0009853877323484639,1000,,0.3,0,1000,1994207325,0.6706177872782875,0.6514155452185402,0.0
2392,0.415,4.318013633719531e-05,0.08120388187133898,0.0011027065017449322,1000,,0.3,0,1000,2042151767,0.39024824409789904,0.4255251218250471,0.0
2393,0.868,7.428497421413383e-05,0.10491258232719602,4.69401339875386e-05,1000,,0.3,0,1000,1270856805,0.9138291801575882,0.9639749769604813,0.0
2394,0.253,0.00010272516772946716,0.10042621829666498,0.0017084204235846556,1000,,0.3,0,1000,2067002171,0.18383919037355795,0.16402403568365523,0.0
2395,0.574,0.00011271780101418383,0.06875563636425941,0.00033577046068056227,1000,,0.3,0,1000,1992668752,0.6317794116023684,0.6328715149275981,0.0
2396,0.396,0.0009053823506325331,0.10192257396133209,0.0011714917970084837,1000,,0.3,0,1000,1355328371,0.502011213630344,0.5701305115391283,0.0
2397,0.432,4.526747696687039e-07,0.08054178442679694,0.0007923919386214617,1000,,0.3,0,1000,644604477,0.40667788823649487,0.45567628975013164,0.0
2398,0.135,0.0017263633859785354,0.08090871387032006,0.003863927697686176,1000,,0.3,0,1000,16085700,0.1880006297555654,0.143883694147833,0.0
2399,0.999,0.0031166676510777647,0.09680629051870204,8.203104140624973e-06,1000,,0.3,0,1000,628675233,0.6188106954364232,0.60899986364583,0.0
2400,0.634,0.0011328108145886029,0.05115200847078549,0.010255027065313671,50,,0.3,0,1000,323672003,0.5072303350112302,0.514598758241787,0.1
2401,0.468,0.011206063554874857,0.2237904316895758,0.019579671184796532,50,,0.3,0,1000,1931310255,0.6883114004753668,0.7059787766312091,0.1
2402,0.721,0.016200718685278837,0.03517317034864287,0.006652177220369038,50,,0.3,0,1000,983343362,0.8313533150688187,0.8426550683446958,0.1
2403,0.479,1.9655046379352115e-07,0.10884942806464226,0.016340527755901668,50,,0.3,0,1000,18978686,0.4314101740602696,0.35418361357178785,0.1
2404,0.847,0.019505870044289608,0.13055936934197498,0.01238304606838958,50,,0.3,0,1000,1136612079,0.8609990226371778,0.8704505628941138,0.1
2405,1.0,0.013498798643966303,0.17353132180198916,0.00022770403370131476,50,,0.3,0,1000,509210806,0.6489780151262196,0.6835139802941733,0.1
2406,0.708,0.01498336560317115,0.16217971705280165,0.0056324563175337294,50,,0.3,0,1000,1968836861,0.8720863017879928,0.9312894480489765,0.1
2407,0.463,0.016518590866698712,0.0686434405676245,0.01112867916565552,50,,0.3,0,1000,1920254670,0.29751177710382176,0.24074301905384737,0.1
2408,0.374,0.0034340482091309577,0.005363316038858867,0.025097606443618692,50,,0.3,0,1000,1352180696,0.379008161893983,0.3986465834994003,0.1
