,p,r2_y_c,r2_yhat_c,r2_y_yhat,n,c_to_y_ratio_in_yhat,yc_in_yhat,y_in_c,num_perms,random_seed,p_pc_pearson,p_pc_spearman,y_to_c_ratio_in_yhat
174,0.926,0.0005765041684359096,0.006255357342140444,6.93256746764348e-05,100,,0,0,1000,2100794139,0.9411293446249565,0.9411293446249556,0.0
175,0.287,0.0019919716008155453,0.008621675144477647,0.009485437932272744,100,,0,0,1000,409471048,0.23314643522211204,0.23314643522211131,0.0
176,0.993,0.004254721586553045,0.005099406685913466,8.774802806366111e-06,100,,0,0,1000,834406432,0.9777537778380321,0.9777537778380321,0.0
177,0.09,0.025130487479684938,0.014621942079377948,0.01895793139881219,100,,0,0,1000,417687536,0.05536604801370087,0.05536604801370022,0.0
178,0.736,0.0008439868427007058,0.0036673082297492554,0.00036408479556326867,100,,0,0,1000,1290239217,0.8432488069345502,0.8432488069345516,0.0
179,0.761,0.0018221972195626712,0.0028538654324364865,0.00034047191447628133,100,,0,0,1000,1616085243,0.8066924459418334,0.8066924459418354,0.0
180,0.671,0.023789827354227744,0.00026676939343450723,0.0012542665419543741,100,,0,0,1000,47259107,0.7027157689061105,0.7027157689061108,0.0
181,0.753,0.007251873053307101,2.49286352540512e-05,0.0002914739666677324,100,,0,0,1000,914447942,0.8473466033260639,0.8473466033260654,0.0
182,0.441,0.03370507892682317,0.05632990071066346,0.00618863724594132,100,,0,0,1000,1871798527,0.7335716960774978,0.733571696077503,0.0
183,0.444,0.00029359540417062124,0.000286022057235491,0.005458853915888517,100,,0,0,1000,168628923,0.396116790804778,0.3961167908047756,0.0
184,0.325,0.00742424422720156,0.007317319361923258,0.011252600821640035,100,,0,0,1000,1388926771,0.2601222117272405,0.26012221172724154,0.0
185,0.173,8.950058893120172e-06,1.9120623456991837e-05,0.014621942079392047,100,,0,0,1000,760812298,0.16070238514942814,0.16070238514942847,0.0
186,0.662,0.006924360903229565,0.013783645400579636,0.0012542665414978504,100,,0,0,1000,1931678383,0.5821607780567615,0.582160778056762,0.0
187,1.0,0.0026247384733802948,0.00401635136720313,0.00028960116002552105,100,,0,0,1000,672815658,0.8780809662780573,0.8780809662780562,0.0
188,0.146,0.000312829017970806,1.678355605272408e-06,0.0143834903712442,100,,0,0,1000,1235241491,0.16388281130091722,0.16388281130091803,0.0
189,0.203,0.0002410777980977885,0.0011326939581580708,0.014018530261292739,100,,0,0,1000,298894897,0.17228545150771535,0.17228545150771493,0.0
190,0.124,0.0024788984139697545,2.8157422760299866e-05,0.02324120648364081,100,,0,0,1000,2055613399,0.07510919150143378,0.07510919150143262,0.0
