,p,r2_y_c,r2_yhat_c,r2_y_yhat,n,c_to_y_ratio_in_yhat,yc_in_yhat,y_in_c,num_perms,random_seed,p_pc_pearson,p_pc_spearman
99,0.049,0.025359885072382182,0.07329906475882719,0.0035088843694901506,50,0,0,0,1000,504192306,0.021640499344368312,0.02164049934436835
100,0.511,0.003321032020720094,0.003179148172318569,0.0005659659729314592,100,0,0,0,1000,1604458567,0.5015198536269874,0.5015198536269876
101,0.494,0.005433498392325653,0.004016351367203352,0.005099434719328055,100,0,0,0,1000,774880851,0.5053122419075282,0.5053122419075243
102,0.928,0.0011544640047951304,0.0002887570835357067,0.0025994543450958973,100,0,0,0,1000,227552889,0.8253319099883423,0.8253319099883409
103,0.932,6.767250800843172e-06,0.00010358640009622277,0.00018631957591552784,100,0,0,0,1000,16906905,0.9049700812208644,0.9049700812208654
104,0.973,0.02432800869168039,-1.8465613482732124e-09,0.0010266625365213944,100,0,0,0,1000,55384970,0.9457567633118034,0.9457567633118014
105,0.954,0.002829138798499886,9.238675364731108e-07,0.00023129555488599074,100,0,0,0,1000,2132110259,0.999999999999999,0.9999999999999987
106,0.058,0.00029147396666751035,0.026263775389105404,0.010480373595289971,100,0,0,0,1000,216666703,0.06162810117738126,0.061628101177381635
107,0.422,0.003327233194717616,0.006089799607843838,0.009127697824069525,100,0,0,0,1000,296224385,0.40300174296223357,0.40300174296223235
108,0.258,0.0076394552557553785,0.007359200576614766,0.0010927935500889552,100,0,0,0,1000,1619298557,0.33702404055186086,0.3370240405518615
109,0.105,0.03738389452127466,0.01891433274356069,0.014018530261335704,100,0,0,0,1000,1541312302,0.18306408803319754,0.18306408803319618
110,0.42,0.006711114976846511,0.006986311969580328,0.024780036020677687,100,0,0,0,1000,62559325,0.4168515089628647,0.4168515089628647
111,0.387,0.004296880834102845,0.005047262580282874,1.7162709633478102e-06,100,0,0,0,1000,1681594616,0.4103491774803466,0.41034917748034416
112,0.445,0.004833303561260993,0.007270764521970063,0.0019208639371874892,100,0,0,0,1000,358777621,0.30187402195787244,0.30187402195787244
113,0.42,0.0010530311288331484,0.006685004524892069,0.010134488723422708,100,0,0,0,1000,1754616452,0.3212373315884563,0.32123733158845663
114,0.271,0.00028523492102427994,0.0105289648716691,0.008644292419765276,100,0,0,0,1000,46788485,0.22390459706023244,0.2239045970602326
115,0.305,0.018668208296933275,0.007514340853259416,0.0072284617316642485,100,0,0,0,1000,510160670,0.3893433689900666,0.3893433689900666
116,0.322,0.004311847800204993,0.007359200576614322,0.0024894671734533302,100,0,0,0,1000,454673985,0.29675954278868016,0.29675954278867916
117,0.999,0.00013279345338823578,8.346157835548151e-05,0.0224315674575849,100,0,0,0,1000,636524282,0.9289061638101848,0.9289061638101834
118,0.602,0.0009614130307058488,0.001662422292281085,0.00036754429211638406,100,0,0,0,1000,291875639,0.6431840294783684,0.6431840294783662
119,0.553,0.029664927156802356,0.004311847800204993,0.0009859591824542546,100,0,0,0,1000,1384953418,0.3950964243193481,0.39509642431934966
120,0.395,0.011485069528632263,0.008170667103897578,0.0013042664970320805,100,0,0,0,1000,470824762,0.33093662351960407,0.33093662351960307
121,0.568,0.007044472867744234,0.0021195101237146963,0.0029620360428610493,100,0,0,0,1000,528486959,0.6393992591642574,0.6393992591642581
122,0.255,0.03661949599130798,0.014668348273678355,0.0239164494045494,100,0,0,0,1000,185433238,0.29447729494050034,0.29447729494050034
123,0.147,0.007513820545385852,0.017368381462181004,0.024106466158073103,100,0,0,0,1000,1530812528,0.16985597553923285,0.1698559755392316
124,0.787,0.006627120050636703,0.0009010652052464652,0.006203295901922257,100,0,0,0,1000,647861397,0.794805412924871,0.7948054129248687
125,0.499,0.002932076305513176,0.004738769940148102,9.242855768709646e-05,100,0,0,0,1000,563383994,0.4311031319033032,0.4311031319033033
126,0.819,4.8169474734294226e-05,0.0005017710576576961,2.4054527758998745e-05,100,0,0,0,1000,1179513918,0.7957850970044146,0.7957850970044131
